销量排名,书名,作者,作者姓名,作者国家,出版年份,出版社,原价,折后价,折扣,百分比折扣,评论数,简介,match_text,所属分类
1,Python编程从入门到实践 第3版,[美]埃里克・马瑟斯（EricMatthes）,埃里克・马瑟斯,美,2023,人民邮电出版社,109.8,69.8,6.4,64%,25616,编程入门就选蟒蛇书！ 【经典】Python入门经典，常居Amazon等编程类图书TOP榜 【畅销】热销全球，以12个语种发行，影响超过 250 万读者 【口碑】好评如潮，第2版豆瓣评分 9.2，Amazon 4.7 星评 【升级】代码基于Python3.11升级，涵盖语言新特性 【资源丰富】随书代码 PPT课件 配套视频 速查手册 【自学利器】零基础书籍，自学轻松，附赠学习路线图 【品质提升】精雕细琢，邀请20位一线开发人员审读全书 学完蟒蛇书，你能打下坚实的编程基础、习得优秀的编程习惯，更会构建让自己终身受益的计算思维，而这也是AIGC时代与AI共生的基本技能。,python编程从入门到实践 第3版 编程入门就选蟒蛇书！ 【经典】python入门经典，常居amazon等编程类图书top榜 【畅销】热销全球，以12个语种发行，影响超过 250 万读者 【口碑】好评如潮，第2版豆瓣评分 9.2，amazon 4.7 星评 【升级】代码基于python3.11升级，涵盖语言新特性 【资源丰富】随书代码 ppt课件 配套视频 速查手册 【自学利器】零基础书籍，自学轻松，附赠学习路线图 【品质提升】精雕细琢，邀请20位一线开发人员审读全书 学完蟒蛇书，你能打下坚实的编程基础、习得优秀的编程习惯，更会构建让自己终身受益的计算思维，而这也是aigc时代与ai共生的基本技能。,Python基础入门
2,Python网络爬虫与数据分析从入门到实践,马国俊,马国俊,,2023,清华大学出版社,75.8,55.86,7.4,74%,226,突出特色是实战，所有知识都配合案例并给出详细操作，所有代码都有注释，可以说学习无障碍、无痛苦。 涉及多种流行的热门框架，包括爬虫框架如Urllib、BeautifulSoup、Scrapy，常用的数据分析库如Numpy、Pandas、Matplotlib等都行了详细介绍。 全流程讲解，从获取数据、数据预处理到数据分析和数据可视化，面面俱到。 技术先，除常用数据处理方法，还介绍了当前热门的中文文本处理，以及热门的机器学习算法在数据分析中的应用。 本书给出了大量示例和项目，可以帮助读者掌握一线技能，真正解决工作中遇到的问题。,python网络爬虫与数据分析从入门到实践 突出特色是实战，所有知识都配合案例并给出详细操作，所有代码都有注释，可以说学习无障碍、无痛苦。 涉及多种流行的热门框架，包括爬虫框架如urllib、beautifulsoup、scrapy，常用的数据分析库如numpy、pandas、matplotlib等都行了详细介绍。 全流程讲解，从获取数据、数据预处理到数据分析和数据可视化，面面俱到。 技术先，除常用数据处理方法，还介绍了当前热门的中文文本处理，以及热门的机器学习算法在数据分析中的应用。 本书给出了大量示例和项目，可以帮助读者掌握一线技能，真正解决工作中遇到的问题。,Python基础入门
3,Python完全自学教程,明日科技编著,明日科技编著,,2023,人民邮电出版社,71.9,57.54,8.0,80%,780,本书可作为Python自学手册。本书系统地介绍了Python程序设计发所涉及的各类知识。全书共19章，包括Python起步、Python语言基础、Python数据类型、运算符、条件控制语句、循环结构语句、序列、字符串、列表、字典与集合、文件与I/O、函数、GUI编程、异常处理及程序调试、Web编程、Web框架，以及3个实战案例即51商城、BBS问答社区、甜橙音乐网。全书每章内容都与实例紧密结合，有助于读者理解知识、应用知识，达到学以致用的目的。 本书附有配套资源包，资源包中有本书所有实例的源码及教学视频。其中，源码全部经过精心测试，能够在Windows 7、Windows 8、Windows 10操作系统下编译和运行。 本书可作为计算机、软件等相关专业的教材，同时也适合数据库爱好者、初级数据库发人员阅读参考。,python完全自学教程 本书可作为python自学手册。本书系统地介绍了python程序设计发所涉及的各类知识。全书共19章，包括python起步、python语言基础、python数据类型、运算符、条件控制语句、循环结构语句、序列、字符串、列表、字典与集合、文件与i/o、函数、gui编程、异常处理及程序调试、web编程、web框架，以及3个实战案例即51商城、bbs问答社区、甜橙音乐网。全书每章内容都与实例紧密结合，有助于读者理解知识、应用知识，达到学以致用的目的。 本书附有配套资源包，资源包中有本书所有实例的源码及教学视频。其中，源码全部经过精心测试，能够在windows 7、windows 8、windows 10操作系统下编译和运行。 本书可作为计算机、软件等相关专业的教材，同时也适合数据库爱好者、初级数据库发人员阅读参考。,Python基础入门
4,深度学习的数学――使用Python语言,[美]罗纳德・T・纽塞尔(RonaldT・Kneusel) 著,罗纳德・T・纽塞尔 著,美,2024,人民邮电出版社,71.8,57.47,8.0,80%,701,1.做中学，从代码来理解深度学习的数学 从本质上讲，这是一本数学书。但是，本书将使用代码来说明概念，而不是证明和练习。深度学习是一门应用学科，作者认为做中学，你才能理解它。因此，本书将使用代码来弥合纯数学知识和动手实践之间的差距。 2.循序渐，从基础到阶，从门到精通 本书各章内容相辅相成，基础章节后面紧跟阶的数学主题，最后讲解深度学习算法，涉及前面章节中涵盖的所有内容。一般而言，读者可以从前向后通读本书，对于熟悉的主题，则可以跳过。,深度学习的数学――使用python语言 1.做中学，从代码来理解深度学习的数学 从本质上讲，这是一本数学书。但是，本书将使用代码来说明概念，而不是证明和练习。深度学习是一门应用学科，作者认为做中学，你才能理解它。因此，本书将使用代码来弥合纯数学知识和动手实践之间的差距。 2.循序渐，从基础到阶，从门到精通 本书各章内容相辅相成，基础章节后面紧跟阶的数学主题，最后讲解深度学习算法，涉及前面章节中涵盖的所有内容。一般而言，读者可以从前向后通读本书，对于熟悉的主题，则可以跳过。,机器学习与深度学习
5,Python+Office:轻松实现Python办公自动化,王国平,王国平,,2021,电子工业出版社,63.2,55.3,8.7,87%,602,下载案例素材，边学边练 超多实用案例，学以致用 数据处理量更大，文件处理更快，让工作更高效！ Excel数据自动化处理、Word文本自动化处理、PPT自动化制作、邮件自动化处理、文件自动化处理全攻略！,python+office:轻松实现python办公自动化 下载案例素材，边学边练 超多实用案例，学以致用 数据处理量更大，文件处理更快，让工作更高效！ excel数据自动化处理、word文本自动化处理、ppt自动化制作、邮件自动化处理、文件自动化处理全攻略！,办公自动化
6,Python自动化办公很简单,朱宁,朱宁,,2025,清华大学出版社,69.8,54.4,7.8,78%,195,告别烦琐的重复性工作，向工作效率低下说 不 ！ 插上Python这对 翅膀 ，让你的办公效率飞起来！ 一起用Python编写能自动完成各种办公任务的代码吧！ 轻松上手：用通俗易懂的语言详细讲解Python自动化办公的相关技术和典型应用，即便是编程 小白 ，也能轻松上手并快速提高。 案例丰富：详解112个典型实战案例，手把手带领读者进行编程实践，从而帮助他们快速掌握并灵活运用Python自动化办公的相关技术。 经验分享：结合作者在Python编程实践中积累的丰富经验，为读者提供独特的视角和实用的建议，助力他们在工作中快速取得优势。 适用广泛：无论是刚进入职场的新手或者团队管理者，还是Python程序员或者自动化办公技术的其他爱好者，都能从本书中获得有价值的知识和启发。,python自动化办公很简单 告别烦琐的重复性工作，向工作效率低下说 不 ！ 插上python这对 翅膀 ，让你的办公效率飞起来！ 一起用python编写能自动完成各种办公任务的代码吧！ 轻松上手：用通俗易懂的语言详细讲解python自动化办公的相关技术和典型应用，即便是编程 小白 ，也能轻松上手并快速提高。 案例丰富：详解112个典型实战案例，手把手带领读者进行编程实践，从而帮助他们快速掌握并灵活运用python自动化办公的相关技术。 经验分享：结合作者在python编程实践中积累的丰富经验，为读者提供独特的视角和实用的建议，助力他们在工作中快速取得优势。 适用广泛：无论是刚进入职场的新手或者团队管理者，还是python程序员或者自动化办公技术的其他爱好者，都能从本书中获得有价值的知识和启发。,其他/跨领域融合
7,Python编程:从入门到实践(第3版),[美]埃里克・马瑟斯(EricMatthes) 著,埃里克・马瑟斯 著,美,2023,人民邮电出版社,69.8,54.9,7.9,79%,110,编程门就选蟒蛇书！ 【经典】Python门经典，常居Amazon等编程类图书TOP榜 【畅销】热销全球，以12个语种发行，影响超过 250 万读者 【口碑】好评如潮，第2版豆瓣评分 9.2，Amazon 4.7 星评 【升级】代码基于Python3.11升级，涵盖语言新特性 【资源丰富】随书代码 PPT课件 配套视频 速查手册 【自学利器】零基础书籍，自学轻松，附赠学习路线图 【品质提升】精雕细琢，邀请20位一线发人员审读全书 学完蟒蛇书，你能下坚实的编程基础、习得优秀的编程习惯，更会构建让自己终身受益的计算思维，而这也是AIGC时代与AI共生的基本技能。,python编程:从入门到实践(第3版) 编程门就选蟒蛇书！ 【经典】python门经典，常居amazon等编程类图书top榜 【畅销】热销全球，以12个语种发行，影响超过 250 万读者 【口碑】好评如潮，第2版豆瓣评分 9.2，amazon 4.7 星评 【升级】代码基于python3.11升级，涵盖语言新特性 【资源丰富】随书代码 ppt课件 配套视频 速查手册 【自学利器】零基础书籍，自学轻松，附赠学习路线图 【品质提升】精雕细琢，邀请20位一线发人员审读全书 学完蟒蛇书，你能下坚实的编程基础、习得优秀的编程习惯，更会构建让自己终身受益的计算思维，而这也是aigc时代与ai共生的基本技能。,Python基础入门
8,深度学习入门 基于Python的理论与实现,斋藤康毅,斋藤康毅,,2021,人民邮电出版社,69.8,44.2,6.3,63%,16102,1.日本深度学习入门经典畅销书，原版上市不足2年印刷已达100 000册。长期位列日亚 人工智能 类图书榜首，众多五星好评。 2.使用Python 3，尽量不依赖外部库或工具，从零创建一个深度学习模型。 3.示例代码清晰，源代码可下载，需要的运行环境非常简单。读者可以一边读书一边执行程序，简单易上手。 4.使用平实的语言，结合直观的插图和具体的例子，将深度学习的原理掰开揉碎讲解，简明易懂。 5.使用计算图介绍复杂的误差反向传播法，非常直观。 6.相比AI圣经 花书 ，本书更合适入门。 对于非AI方向的技术人员，本书将大大降低入门深度学习的门槛；对于在校大学生、研究生，本书不失为学习深度学习的一本好教材；即便是在工作中已经熟练使用框架开发各类深度学习模型的读者，也可以从本书中获得新的体会。 摘自本书译者序,深度学习入门 基于python的理论与实现 1.日本深度学习入门经典畅销书，原版上市不足2年印刷已达100 000册。长期位列日亚 人工智能 类图书榜首，众多五星好评。 2.使用python 3，尽量不依赖外部库或工具，从零创建一个深度学习模型。 3.示例代码清晰，源代码可下载，需要的运行环境非常简单。读者可以一边读书一边执行程序，简单易上手。 4.使用平实的语言，结合直观的插图和具体的例子，将深度学习的原理掰开揉碎讲解，简明易懂。 5.使用计算图介绍复杂的误差反向传播法，非常直观。 6.相比ai圣经 花书 ，本书更合适入门。 对于非ai方向的技术人员，本书将大大降低入门深度学习的门槛；对于在校大学生、研究生，本书不失为学习深度学习的一本好教材；即便是在工作中已经熟练使用框架开发各类深度学习模型的读者，也可以从本书中获得新的体会。 摘自本书译者序,Python基础入门
9,Python区块链量化交易,陈林仙,陈林仙,,2025,清华大学出版社,59.0,46.0,7.8,78%,272,本书是一本区块链量化交易编程的基础入门、项目实战的技术教程，既包括详细的基础知识介绍，又提供了丰富的实际项目开发案例，包括详细的项目开发步骤，每个代码片段都有详细的注释标注和对应的操作说明。本书将带你走进神秘的区块链量化交易世界，一起探索币安和欧易最基础的交易API的使用方法。,python区块链量化交易 本书是一本区块链量化交易编程的基础入门、项目实战的技术教程，既包括详细的基础知识介绍，又提供了丰富的实际项目开发案例，包括详细的项目开发步骤，每个代码片段都有详细的注释标注和对应的操作说明。本书将带你走进神秘的区块链量化交易世界，一起探索币安和欧易最基础的交易api的使用方法。,Python基础入门
10,笨办法学Python 原书第5版,[美]泽德A. 肖（Zed A.Shaw） 著小甲鱼译,泽德A. 肖 著小甲鱼译,美,2025,清华大学出版社,89.0,69.4,7.8,78%,317,60课介绍Python编程的基础知识,笨办法学python 原书第5版 60课介绍python编程的基础知识,Python基础入门
